name,assists,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,ea_index,element,errors_leading_to_goal,errors_leading_to_goal_attempt,fixture,fouls,goals_conceded,goals_scored,ict_index,id,influence,key_passes,kickoff_time,kickoff_time_formatted,loaned_in,loaned_out,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,winning_goals,yellow_cards
Aaron_Cresswell,0,0,0,0,0,0,0,0,0,0.0,0,0,454,0,0,20,0,0,0,0.0,979,0.0,0,2016-08-21T15:00:00Z,21 Aug 16:00,0,0,0,0,0,2,0,0,0,0,0,0,2,0,11531,0,0,0,0,1,0.0,0,-3002,79,3081,55,True,0,0
Aaron_Lennon,0,0,0,0,0,0,0,0,0,0.0,0,0,142,0,0,18,0,0,0,0.0,667,0.0,0,2016-08-20T14:00:00Z,20 Aug 15:00,0,0,0,0,0,19,0,0,0,0,0,0,2,0,13751,0,0,0,2,1,0.0,0,-1699,290,1989,60,False,0,0
Aaron_Ramsey,0,0,0,0,0,0,0,0,0,0.0,0,0,16,0,0,13,0,0,0,0.0,541,0.0,0,2016-08-20T16:30:00Z,20 Aug 17:30,0,0,0,0,0,8,0,0,0,0,0,0,2,0,96836,0,0,0,0,0,0.0,0,-74173,1610,75783,79,False,0,0
Abdoulaye_Doucouré,0,3,0,0,0,3,0,1,3,0.1,0,0,482,0,0,17,0,1,0,0.1,1007,1.2,0,2016-08-20T14:00:00Z,20 Aug 15:00,0,0,7,0,0,4,0,0,0,0,1,0,2,0,1010,0,0,0,2,1,0.0,1,-142,15,157,50,True,0,0
Abdul Rahman_Baba,0,0,0,0,0,0,0,0,0,0.0,0,0,80,0,0,17,0,0,0,0.0,605,0.0,0,2016-08-20T14:00:00Z,20 Aug 15:00,0,0,0,0,0,18,0,0,0,0,0,0,2,0,968,0,0,0,2,1,0.0,0,-356,6,362,55,False,0,0
Abel_Hernández,0,23,0,1,0,21,1,0,16,3.4,0,0,163,0,0,15,2,0,1,8.9,688,33.2,0,2016-08-20T14:00:00Z,20 Aug 15:00,0,0,90,2,0,16,0,0,0,0,1,0,2,0,43161,2,0,0,2,0,52.0,6,7923,10761,2838,60,False,0,0
Adama_Diomande,0,28,0,0,0,2,1,1,19,5.0,1,0,164,0,0,15,0,0,0,2.1,689,1.6,0,2016-08-20T14:00:00Z,20 Aug 15:00,0,0,72,1,0,16,0,0,0,0,4,0,2,0,160010,5,1,2,2,0,14.0,2,71828,82044,10216,45,False,0,0
Adam_Clayton,0,60,0,0,0,4,0,3,52,2.1,0,0,283,0,0,19,4,1,0,1.4,808,10.8,0,2016-08-21T12:30:00Z,21 Aug 13:30,0,0,90,0,0,15,0,0,0,0,8,0,2,0,18401,3,1,1,2,1,1.0,1,-264,782,1046,45,False,0,1
Adam_Federici,0,0,0,0,0,0,0,0,0,0.0,0,0,30,0,0,20,0,0,0,0.0,555,0.0,0,2016-08-21T15:00:00Z,21 Aug 16:00,0,0,0,0,0,20,0,0,0,0,0,0,2,0,4539,0,0,0,0,1,0.0,0,-223,65,288,45,False,0,0
Adam_Forshaw,0,61,0,0,0,14,0,4,53,15.8,1,0,286,0,0,19,0,1,0,2.7,811,10.0,1,2016-08-21T12:30:00Z,21 Aug 13:30,0,0,90,0,0,15,0,0,0,0,8,0,2,0,2840,1,0,1,2,1,1.0,2,-152,94,246,45,False,0,0
Adam_Lallana,0,65,0,0,0,16,0,0,58,29.9,2,0,205,0,0,12,0,2,0,15.6,730,17.2,2,2016-08-20T14:00:00Z,20 Aug 15:00,0,0,77,0,0,3,0,0,0,0,6,0,2,0,302752,2,1,0,0,2,109.0,2,88008,97051,9043,70,False,0,0
Adam_Matthews,0,0,0,0,0,0,0,0,0,0.0,0,0,345,0,0,19,0,0,0,0.0,870,0.0,0,2016-08-21T12:30:00Z,21 Aug 13:30,0,0,0,0,0,12,0,0,0,0,0,0,2,0,1590,0,0,0,2,1,0.0,0,-264,22,286,40,True,0,0
Adam_Reach,0,0,0,0,0,0,0,0,0,0.0,0,0,285,0,0,19,0,0,0,0.0,810,0.0,0,2016-08-21T12:30:00Z,21 Aug 13:30,0,0,0,0,0,15,0,0,0,0,0,0,2,0,2413,0,0,0,2,1,0.0,0,-246,26,272,45,False,0,0
Adam_Smith,0,43,0,0,0,15,0,8,40,2.3,0,0,34,0,0,20,1,1,0,3.1,559,20.0,0,2016-08-21T15:00:00Z,21 Aug 16:00,0,0,90,0,0,20,0,0,0,0,5,0,2,0,95078,1,0,0,0,1,9.0,2,24466,28792,4326,45,False,0,0
Adlène_Guédioura,1,32,0,0,0,20,0,3,26,21.3,2,0,415,0,0,17,3,2,0,5.3,940,22.8,1,2016-08-20T14:00:00Z,20 Aug 15:00,0,0,87,1,1,4,0,0,0,0,6,0,2,0,1636,3,1,1,2,1,9.0,5,13,116,103,45,True,0,0
Adnan_Januzaj,0,20,0,0,0,9,0,1,13,48.8,6,0,261,0,0,19,0,2,0,11.9,786,17.2,4,2016-08-21T12:30:00Z,21 Aug 13:30,0,0,90,0,1,12,0,0,0,0,5,0,2,0,37749,7,0,2,2,1,53.0,2,5002,7279,2277,55,True,0,0
Adrián_San Miguel del Castillo,0,21,0,0,2,30,1,0,8,0.0,0,0,450,0,0,20,0,0,0,2.9,975,28.6,0,2016-08-21T15:00:00Z,21 Aug 16:00,0,0,90,0,0,2,0,0,0,0,8,0,2,5,112337,0,0,0,0,1,0.0,9,6079,9312,3233,50,True,0,0
