assists,bonus,bps,chance_of_playing_next_round,chance_of_playing_this_round,clean_sheets,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,creativity,dreamteam_count,ea_index,element_type,ep_next,ep_this,event_points,first_name,form,goals_conceded,goals_scored,ict_index,id,in_dreamteam,influence,loaned_in,loaned_out,loans_in,loans_out,minutes,news,news_added,now_cost,own_goals,penalties_missed,penalties_saved,photo,points_per_game,red_cards,saves,second_name,selected_by_percent,special,squad_number,status,team,team_code,threat,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,yellow_cards
0,3,130,0,0,1,11334,0,0,0,0,0.0,0,0,1,0.0,0.0,0,Petr,3.5,9,0,20.4,1,False,205.0,0,0,0,0,585,Hamstring injury - Expected back 03 Nov,2018-09-29T17:31:14Z,50,0,0,0,11334.jpg,3.4,0,27,Cech,1.8,False,1,i,1,3,0.0,24,74971,81,86240,6048,0.7,4.8,Cech,0
0,0,30,None,None,0,80201,0,0,-2,2,0.0,0,0,1,1.8,2.3,3,Bernd,1.3,1,0,4.8,2,False,48.0,0,0,0,0,135,,None,48,0,0,0,80201.jpg,2.5,0,6,Leno,1.5,False,19,a,1,3,0.0,5,20630,2504,66219,670,0.3,1.0,Leno,0
0,0,0,0,0,0,51507,0,0,-1,1,0.0,0,0,2,0.0,0.0,0,Laurent,0.0,0,0,0.0,3,False,0.0,0,0,0,0,0,Achilles injury - Expected back 11 Nov,2018-07-05T14:31:07Z,54,0,0,0,51507.jpg,0.0,0,0,Koscielny,0.1,False,6,i,1,3,0.0,0,430,10,3778,43,0.0,0.0,Koscielny,0
2,2,156,None,None,2,98745,0,0,-1,1,101.0,0,0,2,5.8,6.3,5,Héctor,5.3,10,0,35.6,4,False,154.8,0,0,0,0,720,,None,54,0,0,0,98745.jpg,3.5,0,0,Bellerín,10.4,False,2,a,1,3,100.0,28,164790,6860,388297,4415,1.0,5.2,Bellerín,1
1,2,124,100,100,2,38411,0,0,0,0,75.1,1,0,2,5.3,5.8,5,Nacho,4.8,8,1,38.5,5,False,149.2,0,0,0,0,630,,2018-08-05T10:31:10Z,55,0,0,0,38411.jpg,4.3,0,0,Monreal,2.4,False,18,a,1,3,161.0,30,134991,4391,63182,1738,0.9,5.5,Monreal,1
0,3,55,None,None,1,156074,0,0,-1,1,1.4,0,0,2,3.5,4.0,2,Rob,3.0,1,0,6.2,6,False,58.0,0,0,0,0,231,,None,44,0,0,0,156074.jpg,4.0,0,0,Holding,0.6,False,16,a,1,3,2.0,12,7877,785,18142,307,0.7,2.7,Holding,0
0,1,147,None,None,2,69140,0,0,-1,1,31.3,0,0,2,4.3,4.8,2,Shkodran,3.8,10,1,35.0,7,False,223.4,0,0,0,0,720,,None,54,0,0,0,69140.jpg,3.3,0,0,Mustafi,1.4,False,20,a,1,3,95.0,26,30292,626,37964,1101,0.7,4.8,Mustafi,2
0,0,0,100,100,0,111457,0,0,-1,1,0.0,0,0,2,0.5,1.0,0,Sead,0.0,0,0,0.0,8,False,0.0,0,0,0,0,0,,2018-08-02T07:01:09Z,49,0,0,0,111457.jpg,0.0,0,0,Kolasinac,0.3,False,31,a,1,3,0.0,0,1166,167,20059,159,0.0,0.0,Kolasinac,0
0,0,0,0,0,0,233963,0,0,-2,2,0.0,0,0,2,0.0,0.0,0,Konstantinos,0.0,0,0,0.0,10,False,0.0,0,0,0,0,0,Groin Injury - Expected back 28 Oct,2018-09-25T09:01:13Z,48,0,0,0,233963.jpg,0.0,0,0,Mavropanos,0.1,False,27,i,1,3,0.0,0,937,3,7881,132,0.0,0.0,Mavropanos,0
0,0,0,None,None,0,27335,0,0,-3,3,5.8,0,0,2,0.5,1.0,0,Stephan,0.0,1,0,0.9,11,False,1.0,0,0,0,0,55,,None,47,0,0,0,27335.jpg,1.0,0,0,Lichtsteiner,1.0,False,12,a,1,3,2.0,1,9576,144,85948,961,0.0,0.2,Lichtsteiner,0
