value;name;position;display_name;bonus;bonus_weighted;bps;bps_weighted;total_points;total_points_weighted;vpc_ratio;vpc_ratio_weighted
5.2;Aaron Cresswell 402;Defender;Aaron Cresswell;0.0;0.0;1.25;0.25;0.125;0.025;0.024038461538461536;0.004807692307692308
5.0;Aaron Lennon 83;Midfielder;Aaron Lennon;0.25;0.08333333333333333;9.5;3.631845238095238;3.375;1.090922619047619;0.675;0.21818452380952377
5.3;Aaron Mooy 199;Midfielder;Aaron Mooy;0.0;0.0;13.375;4.8375;1.875;0.6645833333333333;0.3537735849056604;0.12539308176100628
7.4;Aaron Ramsey 14;Midfielder;Aaron Ramsey;0.125;0.125;13.875;6.2492559523809526;3.875;2.0313988095238096;0.5236486486486486;0.27451335263835264
4.3;Aaron Wan-Bissaka 145;Defender;Aaron Wan-Bissaka;1.125;0.265625;18.5;6.27797619047619;3.875;1.1205357142857144;0.9011627906976745;0.2605897009966778
4.4;Abdelhamid Sabiri 205;Midfielder;Abdelhamid Sabiri;0.0;0.0;0.375;0.05357142857142857;0.125;0.017857142857142856;0.028409090909090908;0.004058441558441558
5.9;Abdoulaye Doucouré 390;Midfielder;Abdoulaye Doucouré;0.5;0.11160714285714285;15.375;4.001785714285715;2.875;0.7165178571428572;0.4872881355932203;0.12144370460048426
4.4;Aboubakar Kamara 189;Forward;Aboubakar Kamara;0.0;0.0;1.25;-0.2544642857142857;0.5;0.1763392857142857;0.11363636363636363;0.040077110389610385
6.9;Adam Lallana 250;Midfielder;Adam Lallana;0.0;0.0;0.25;0.03571428571428571;0.125;0.017857142857142856;0.018115942028985508;0.0025879917184265006
4.3;Adam Masina 386;Defender;Adam Masina;0.0;0.0;0.375;0.09375;0.125;0.03125;0.029069767441860465;0.007267441860465116
4.5;Adam Smith 29;Defender;Adam Smith;0.0;0.0;16.0;6.259970238095239;3.0;1.2732142857142859;0.6666666666666666;0.282936507936508
4.7;Adama Diakhaby 471;Midfielder;Adama Diakhaby;0.0;0.0;1.375;0.22946428571428576;1.0;0.1938988095238095;0.2127659574468085;0.04125506585612968
5.5;Adama Traoré 500;Midfielder;Adama Traoré;0.25;0.05;7.125;1.469345238095238;1.625;0.4366071428571429;0.29545454545454547;0.07938311688311689
5.1;Ademola Lookman 170;Midfielder;Ademola Lookman;0.0;0.0;0.5;0.11875;0.25;0.05625;0.04901960784313726;0.011029411764705883
4.3;Adrian Mariappa 382;Defender;Adrian Mariappa;0.0;0.0;1.125;0.825;0.25;0.15;0.05813953488372093;0.03488372093023256
4.9;Adrien Sebastian Perruchet Silva 231;Midfielder;Adrien Sebastian Perruchet Silva;0.0;0.0;2.0;0.25669642857142855;0.375;0.049107142857142856;0.07653061224489795;0.010021865889212826
4.4;Adrián San Miguel del Castillo 399;Goalkeeper;Adrián San Miguel del Castillo;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
4.4;Ainsley Maitland-Niles 20;Midfielder;Ainsley Maitland-Niles;0.0;0.0;0.875;0.109375;0.125;0.015625;0.028409090909090908;0.0035511363636363635
4.3;Alberto Moreno 240;Defender;Alberto Moreno;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
7.0;Aleksandar Mitrovic 480;Forward;Aleksandar Mitrovic;0.625;0.14583333333333331;17.375;3.872172619047619;5.25;1.3050595238095237;0.75;0.18643707482993196
5.5;Alex Iwobi 15;Midfielder;Alex Iwobi;0.0;0.0;8.125;2.431547619047619;2.25;0.75;0.4090909090909091;0.13636363636363635
4.5;Alex McCarthy 328;Goalkeeper;Alex McCarthy;0.375;0.046875;19.125;5.7717261904761905;3.5;0.865922619047619;0.7777777777777778;0.19242724867724867
6.4;Alex Oxlade-Chamberlain 248;Midfielder;Alex Oxlade-Chamberlain;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
4.8;Alex Pritchard 206;Midfielder;Alex Pritchard;0.0;0.0;2.5;1.1413690476190477;1.0;0.4680059523809524;0.20833333333333334;0.09750124007936509
