name_id;id;name;average_assists;median_assists;sum_assists;count_assists;min_assists;max_assists;average_attempted_passes;median_attempted_passes;sum_attempted_passes;count_attempted_passes;min_attempted_passes;max_attempted_passes;average_big_chances_created;median_big_chances_created;sum_big_chances_created;count_big_chances_created;min_big_chances_created;max_big_chances_created;average_big_chances_missed;median_big_chances_missed;sum_big_chances_missed;count_big_chances_missed;min_big_chances_missed;max_big_chances_missed;average_bonus;median_bonus;sum_bonus;count_bonus;min_bonus;max_bonus;average_bps;median_bps;sum_bps;count_bps;min_bps;max_bps;average_clean_sheets;median_clean_sheets;sum_clean_sheets;count_clean_sheets;min_clean_sheets;max_clean_sheets;average_clearances_blocks_interceptions;median_clearances_blocks_interceptions;sum_clearances_blocks_interceptions;count_clearances_blocks_interceptions;min_clearances_blocks_interceptions;max_clearances_blocks_interceptions;average_completed_passes;median_completed_passes;sum_completed_passes;count_completed_passes;min_completed_passes;max_completed_passes;average_creativity;median_creativity;sum_creativity;count_creativity;min_creativity;max_creativity;average_dribbles;median_dribbles;sum_dribbles;count_dribbles;min_dribbles;max_dribbles;average_ea_index;median_ea_index;sum_ea_index;count_ea_index;min_ea_index;max_ea_index;average_errors_leading_to_goal;median_errors_leading_to_goal;sum_errors_leading_to_goal;count_errors_leading_to_goal;min_errors_leading_to_goal;max_errors_leading_to_goal;average_errors_leading_to_goal_attempt;median_errors_leading_to_goal_attempt;sum_errors_leading_to_goal_attempt;count_errors_leading_to_goal_attempt;min_errors_leading_to_goal_attempt;max_errors_leading_to_goal_attempt;average_fouls;median_fouls;sum_fouls;count_fouls;min_fouls;max_fouls;average_goals_conceded;median_goals_conceded;sum_goals_conceded;count_goals_conceded;min_goals_conceded;max_goals_conceded;average_goals_scored;median_goals_scored;sum_goals_scored;count_goals_scored;min_goals_scored;max_goals_scored;average_ict_index;median_ict_index;sum_ict_index;count_ict_index;min_ict_index;max_ict_index;average_influence;median_influence;sum_influence;count_influence;min_influence;max_influence;average_key_passes;median_key_passes;sum_key_passes;count_key_passes;min_key_passes;max_key_passes;average_loaned_in;median_loaned_in;sum_loaned_in;count_loaned_in;min_loaned_in;max_loaned_in;average_loaned_out;median_loaned_out;sum_loaned_out;count_loaned_out;min_loaned_out;max_loaned_out;average_minutes;median_minutes;sum_minutes;count_minutes;min_minutes;max_minutes;average_offside;median_offside;sum_offside;count_offside;min_offside;max_offside;average_open_play_crosses;median_open_play_crosses;sum_open_play_crosses;count_open_play_crosses;min_open_play_crosses;max_open_play_crosses;average_own_goals;median_own_goals;sum_own_goals;count_own_goals;min_own_goals;max_own_goals;average_penalties_conceded;median_penalties_conceded;sum_penalties_conceded;count_penalties_conceded;min_penalties_conceded;max_penalties_conceded;average_penalties_missed;median_penalties_missed;sum_penalties_missed;count_penalties_missed;min_penalties_missed;max_penalties_missed;average_penalties_saved;median_penalties_saved;sum_penalties_saved;count_penalties_saved;min_penalties_saved;max_penalties_saved;average_recoveries;median_recoveries;sum_recoveries;count_recoveries;min_recoveries;max_recoveries;average_red_cards;median_red_cards;sum_red_cards;count_red_cards;min_red_cards;max_red_cards;average_saves;median_saves;sum_saves;count_saves;min_saves;max_saves;average_selected;median_selected;sum_selected;count_selected;min_selected;max_selected;average_tackled;median_tackled;sum_tackled;count_tackled;min_tackled;max_tackled;average_tackles;median_tackles;sum_tackles;count_tackles;min_tackles;max_tackles;average_target_missed;median_target_missed;sum_target_missed;count_target_missed;min_target_missed;max_target_missed;average_threat;median_threat;sum_threat;count_threat;min_threat;max_threat;average_total_points;median_total_points;sum_total_points;count_total_points;min_total_points;max_total_points;average_transfers_balance;median_transfers_balance;sum_transfers_balance;count_transfers_balance;min_transfers_balance;max_transfers_balance;average_transfers_in;median_transfers_in;sum_transfers_in;count_transfers_in;min_transfers_in;max_transfers_in;average_transfers_out;median_transfers_out;sum_transfers_out;count_transfers_out;min_transfers_out;max_transfers_out;average_cost;median_cost;sum_cost;count_cost;min_cost;max_cost;average_winning_goals;median_winning_goals;sum_winning_goals;count_winning_goals;min_winning_goals;max_winning_goals;average_yellow_cards;median_yellow_cards;sum_yellow_cards;count_yellow_cards;min_yellow_cards;max_yellow_cards
Aaron_Cresswell_402;402;Aaron Cresswell;0.0;0.0;0;10;0;0;8.9;0.0;89;10;0;47;0.0;0.0;0;10;0;0;0.0;0.0;0;10;0;0;0.0;0.0;0;10;0;0;3.5;0.0;35;10;0;18;0.0;0.0;0;10;0;0;0.9;0.0;9;10;0;5;7.2;0.0;72;10;0;39;5.340000000000001;0.0;53.400000000000006;10;0.0;27.6;0.0;0.0;0;10;0;0;0.0;0.0;0;10;0;0;0.0;0.0;0;10;0;0;0.0;0.0;0;10;0;0;0.1;0.0;1;10;0;1;0.3;0.0;3;10;0;1;0.0;0.0;0;10;0;0;1.01;0.0;10.1;10;0.0;5.0;4.58;0.0;45.8;10;0.0;22.0;0.3;0.0;3;10;0;2;0.0;0.0;0;10;0;0;0.0;0.0;0;10;0;0;19.5;0.0;195;10;0;90;0.0;0.0;0;10;0;0;0.4;0.0;4;10;0;3;0.0;0.0;0;10;0;0;0.0;0.0;0;10;0;0;0.0;0.0;0;10;0;0;0.0;0.0;0;10;0;0;0.8;0.0;8;10;0;4;0.0;0.0;0;10;0;0;0.0;0.0;0;10;0;0;58819.5;49934.0;588195;10;39203;103396;0.0;0.0;0;10;0;0;0.2;0.0;2;10;0;1;0.0;0.0;0;10;0;0;0.2;0.0;2.0;10;0.0;2.0;0.4;0.0;4;10;0;2;-6902.6;-3784.0;-69026;10;-22473;0;250.0;191.5;2500;10;0;933;7152.6;3927.0;71526;10;0;22719;5.300000000000001;5.3;53.00000000000001;10;5.1;5.5;0.0;0.0;0;10;0;0;0.1;0.0;1;10;0;1
Aaron_Lennon_83;83;Aaron Lennon;0.1;0.0;1;10;0;1;16.9;16.5;169;10;0;28;0.0;0.0;0;10;0;0;0.1;0.0;1;10;0;1;0.2;0.0;2;10;0;2;8.0;5.0;80;10;0;38;0.2;0.0;2;10;0;1;1.2;1.0;12;10;0;3;13.2;12.0;132;10;0;22;8.3;2.4;83.0;10;0.0;28.7;0.5;0.0;5;10;0;2;0.0;0.0;0;10;0;0;0.0;0.0;0;10;0;0;0.0;0.0;0;10;0;0;0.7;0.5;7;10;0;3;1.5;1.0;15;10;0;4;0.1;0.0;1;10;0;1;2.94;1.25;29.4;10;0.0;14.8;11.080000000000002;6.199999999999999;110.80000000000001;10;0.0;61.8;0.5;0.0;5;10;0;2;0.0;0.0;0;10;0;0;0.0;0.0;0;10;0;0;78.8;90.0;788;10;0;90;0.0;0.0;0;10;0;0;0.2;0.0;2;10;0;1;0.0;0.0;0;10;0;0;0.1;0.0;1;10;0;1;0.0;0.0;0;10;0;0;0.0;0.0;0;10;0;0;2.3;2.0;23;10;0;5;0.0;0.0;0;10;0;0;0.0;0.0;0;10;0;0;48277.0;20840.5;482770;10;15138;105290;1.3;1.0;13;10;0;3;0.5;0.0;5;10;0;2;0.1;0.0;1;10;0;1;10.2;5.0;102.0;10;0.0;57.0;2.9;2.0;29;10;0;13;5638.9;-406.5;56389;10;-15059;54553;12434.0;3037.0;124340;10;0;59888;6795.1;3523.5;67951;10;0;20218;5.0;5.0;50.0;10;5.0;5.0;0.0;0.0;0;10;0;0;0.1;0.0;1;10;0;1
Aaron_Mooy_199;199;Aaron Mooy;0.0;0.0;0;10;0;0;44.8;48.0;448;10;0;64;0.1;0.0;1;10;0;1;0.0;0.0;0;10;0;0;0.0;0.0;0;10;0;0;13.1;12.5;131;10;0;24;0.1;0.0;1;10;0;1;1.2;1.0;12;10;0;4;35.8;39.0;358;10;0;52;22.73;18.9;227.3;10;0.0;63.9;0.4;0.0;4;10;0;1;0.0;0.0;0;10;0;0;0.0;0.0;0;10;0;0;0.0;0.0;0;10;0;0;0.7;0.0;7;10;0;3;1.5;1.0;15;10;0;3;0.0;0.0;0;10;0;0;4.94;3.8;49.400000000000006;10;0.0;11.8;13.6;14.5;136.0;10;0.0;21.2;1.4;1.0;14;10;0;5;0.0;0.0;0;10;0;0;0.0;0.0;0;10;0;0;81.0;90.0;810;10;0;90;0.0;0.0;0;10;0;0;0.7;0.0;7;10;0;3;0.0;0.0;0;10;0;0;0.0;0.0;0;10;0;0;0.0;0.0;0;10;0;0;0.0;0.0;0;10;0;0;6.9;6.5;69;10;0;13;0.0;0.0;0;10;0;0;0.0;0.0;0;10;0;0;128593.4;120671.5;1285934;10;89246;192110;1.9;2.0;19;10;0;4;1.5;0.5;15;10;0;6;0.6;0.0;6;10;0;3;13.0;6.5;130.0;10;0.0;44.0;1.8;2.0;18;10;0;3;-11400.9;-10778.0;-114009;10;-25494;0;820.1;548.5;8201;10;0;2283;12221.0;11163.0;122210;10;0;27777;5.35;5.35;53.5;10;5.2;5.5;0.0;0.0;0;10;0;0;0.1;0.0;1;10;0;1
Aaron_Ramsey_14;14;Aaron Ramsey;0.3;0.0;3;10;0;2;28.6;20.0;286;10;7;63;0.1;0.0;1;10;0;1;0.0;0.0;0;10;0;0;0.1;0.0;1;10;0;1;11.5;9.5;115;10;1;30;0.3;0.0;3;10;0;1;0.4;0.0;4;10;0;3;22.9;16.0;229;10;5;50;18.520000000000003;12.4;185.20000000000002;10;0.3;52.2;0.7;0.0;7;10;0;3;0.0;0.0;0;10;0;0;0.0;0.0;0;10;0;0;0.0;0.0;0;10;0;0;0.9;1.0;9;10;0;2;0.6;0.5;6;10;0;2;0.1;0.0;1;10;0;1;5.0600000000000005;3.75;50.6;10;0.0;12.8;16.419999999999998;10.7;164.2;10;0.0;51.0;1.2;1.0;12;10;0;4;0.0;0.0;0;10;0;0;0.0;0.0;0;10;0;0;52.0;57.5;520;10;10;90;0.3;0.0;3;10;0;2;0.4;0.0;4;10;0;1;0.0;0.0;0;10;0;0;0.0;0.0;0;10;0;0;0.0;0.0;0;10;0;0;0.0;0.0;0;10;0;0;3.1;2.0;31;10;0;11;0.0;0.0;0;10;0;0;0.0;0.0;0;10;0;0;81810.1;67214.0;818101;10;58474;149343;1.5;0.5;15;10;0;5;0.4;0.0;4;10;0;2;0.1;0.0;1;10;0;1;15.6;11.0;156.0;10;0.0;48.0;3.3;2.0;33;10;1;10;3542.1;-369.0;35421;10;-24192;58997;13871.9;6834.5;138719;10;0;69274;10329.8;8745.0;103298;10;0;33049;7.420000000000002;7.4;74.20000000000002;10;7.4;7.5;0.0;0.0;0;10;0;0;0.0;0.0;0;10;0;0
Aaron_Wan-Bissaka_145;145;Aaron Wan-Bissaka;0.1;0.0;1;10;0;1;32.8;31.5;328;10;0;56;0.1;0.0;1;10;0;1;0.0;0.0;0;10;0;0;0.9;0.0;9;10;0;3;17.5;16.0;175;10;-1;38;0.3;0.0;3;10;0;1;5.9;5.5;59;10;0;11;23.1;19.5;231;10;0;48;9.58;6.4;95.8;10;0.0;39.6;2.1;1.5;21;10;0;5;0.0;0.0;0;10;0;0;0.0;0.0;0;10;0;0;0.0;0.0;0;10;0;0;0.4;0.0;4;10;0;1;1.1;1.5;11;10;0;2;0.0;0.0;0;10;0;0;3.7699999999999996;3.2;37.699999999999996;10;0.0;7.6;24.82;25.9;248.2;10;0.0;46.0;0.6;0.0;6;10;0;3;0.0;0.0;0;10;0;0;0.0;0.0;0;10;0;0;79.4;90.0;794;10;0;90;0.0;0.0;0;10;0;0;0.3;0.0;3;10;0;2;0.0;0.0;0;10;0;0;0.1;0.0;1;10;0;1;0.0;0.0;0;10;0;0;0.0;0.0;0;10;0;0;4.9;5.0;49;10;0;11;0.1;0.0;1;10;0;1;0.0;0.0;0;10;0;0;1375296.8;1393399.5;13752968;10;652304;1741616;2.2;2.5;22;10;0;4;1.9;2.5;19;10;0;5;0.1;0.0;1;10;0;1;3.2;0.0;32.0;10;0.0;20.0;3.3;1.0;33;10;-2;12;78013.0;41578.5;780130;10;-45677;282492;117643.6;115605.5;1176436;10;0;296156;39630.6;25607.5;396306;10;0;134124;4.179999999999999;4.15;41.79999999999999;10;4.0;4.3;0.0;0.0;0;10;0;0;0.1;0.0;1;10;0;1
Abdelhamid_Sabiri_205;205;Abdelhamid Sabiri;0.0;0.0;0;10;0;0;0.8;0.0;8;10;0;8;0.0;0.0;0;10;0;0;0.0;0.0;0;10;0;0;0.0;0.0;0;10;0;0;0.3;0.0;3;10;0;3;0.0;0.0;0;10;0;0;0.1;0.0;1;10;0;1;0.7;0.0;7;10;0;7;0.05;0.0;0.5;10;0.0;0.5;0.0;0.0;0;10;0;0;0.0;0.0;0;10;0;0;0.0;0.0;0;10;0;0;0.0;0.0;0;10;0;0;0.0;0.0;0;10;0;0;0.3;0.0;3;10;0;3;0.0;0.0;0;10;0;0;0.06999999999999999;0.0;0.7;10;0.0;0.7;0.42000000000000004;0.0;4.2;10;0.0;4.2;0.0;0.0;0;10;0;0;0.0;0.0;0;10;0;0;0.0;0.0;0;10;0;0;4.5;0.0;45;10;0;45;0.0;0.0;0;10;0;0;0.0;0.0;0;10;0;0;0.0;0.0;0;10;0;0;0.0;0.0;0;10;0;0;0.0;0.0;0;10;0;0;0.0;0.0;0;10;0;0;0.2;0.0;2;10;0;2;0.0;0.0;0;10;0;0;0.0;0.0;0;10;0;0;3439.9;3466.0;34399;10;3062;3822;0.0;0.0;0;10;0;0;0.0;0.0;0;10;0;0;0.0;0.0;0;10;0;0;0.2;0.0;2.0;10;0.0;2.0;0.1;0.0;1;10;0;1;-114.8;-172.0;-1148;10;-386;218;208.4;99.0;2084;10;0;861;323.2;320.0;3232;10;0;643;4.43;4.4;44.3;10;4.3;4.5;0.0;0.0;0;10;0;0;0.0;0.0;0;10;0;0
Abdoulaye_Doucouré_390;390;Abdoulaye Doucouré;0.4;0.0;4;10;0;2;53.1;49.0;531;10;36;87;0.2;0.0;2;10;0;1;0.2;0.0;2;10;0;1;0.6;0.0;6;10;0;3;16.7;14.5;167;10;5;35;0.3;0.0;3;10;0;1;1.8;2.0;18;10;0;4;43.3;40.0;433;10;27;76;19.57;16.200000000000003;195.70000000000002;10;2.2;45.1;1.0;1.0;10;10;0;2;0.0;0.0;0;10;0;0;0.0;0.0;0;10;0;0;0.0;0.0;0;10;0;0;0.9;1.0;9;10;0;2;1.2;1.0;12;10;0;4;0.0;0.0;0;10;0;0;5.040000000000001;4.3;50.400000000000006;10;0.8;14.0;19.04;13.0;190.4;10;3.4;57.4;1.5;1.0;15;10;0;4;0.0;0.0;0;10;0;0;0.0;0.0;0;10;0;0;90.0;90.0;900;10;90;90;0.0;0.0;0;10;0;0;0.0;0.0;0;10;0;0;0.1;0.0;1;10;0;1;0.0;0.0;0;10;0;0;0.0;0.0;0;10;0;0;0.0;0.0;0;10;0;0;8.3;8.0;83;10;5;11;0.0;0.0;0;10;0;0;0.0;0.0;0;10;0;0;94932.4;93969.0;949324;10;79496;109395;1.1;1.0;11;10;0;4;1.0;1.0;10;10;0;3;0.6;0.0;6;10;0;2;11.8;11.0;118.0;10;2.0;37.0;3.7;2.5;37;10;0;11;-1460.0;-4410.5;-14600;10;-10474;26445;6752.3;3192.0;67523;10;0;29856;8212.3;8034.5;82123;10;0;13536;5.9399999999999995;5.9;59.4;10;5.9;6.0;0.0;0.0;0;10;0;0;0.2;0.0;2;10;0;1
Aboubakar_Kamara_189;189;Aboubakar Kamara;0.0;0.0;0;10;0;0;8.8;0.0;88;10;0;35;0.1;0.0;1;10;0;1;0.1;0.0;1;10;0;1;0.0;0.0;0;10;0;0;1.3;0.0;13;10;-4;12;0.0;0.0;0;10;0;0;0.4;0.0;4;10;0;4;6.5;0.0;65;10;0;27;6.640000000000001;0.0;66.4;10;0.0;34.5;0.3;0.0;3;10;0;3;0.0;0.0;0;10;0;0;0.0;0.0;0;10;0;0;0.0;0.0;0;10;0;0;0.8;0.0;8;10;0;3;1.0;0.0;10;10;0;3;0.0;0.0;0;10;0;0;1.26;0.0;12.6;10;0.0;5.4;1.3800000000000001;0.0;13.8;10;0.0;7.6;0.4;0.0;4;10;0;2;0.0;0.0;0;10;0;0;0.0;0.0;0;10;0;0;24.2;0.0;242;10;0;90;0.2;0.0;2;10;0;1;0.1;0.0;1;10;0;1;0.0;0.0;0;10;0;0;0.0;0.0;0;10;0;0;0.0;0.0;0;10;0;0;0.0;0.0;0;10;0;0;1.0;0.0;10;10;0;5;0.0;0.0;0;10;0;0;0.0;0.0;0;10;0;0;518014.7;507205.5;5180147;10;435795;623975;0.5;0.0;5;10;0;2;0.2;0.0;2;10;0;1;0.7;0.0;7;10;0;4;5.4;0.0;54.0;10;0.0;22.0;0.5;0.0;5;10;0;2;-17300.8;-24619.0;-173008;10;-48360;50438;32580.3;15061.5;325803;10;0;127275;49881.1;46487.5;498811;10;0;85864;4.459999999999999;4.5;44.599999999999994;10;4.4;4.5;0.0;0.0;0;10;0;0;0.1;0.0;1;10;0;1
Adama_Diakhaby_471;471;Adama Diakhaby;0.0;0.0;0;10;0;0;5.7;5.5;57;10;0;20;0.0;0.0;0;10;0;0;0.0;0.0;0;10;0;0;0.0;0.0;0;10;0;0;1.7;2.0;17;10;-1;6;0.1;0.0;1;10;0;1;0.2;0.0;2;10;0;2;4.1;4.0;41;10;0;17;2.37;0.35;23.7;10;0.0;17.0;0.4;0.0;4;10;0;2;0.0;0.0;0;10;0;0;0.0;0.0;0;10;0;0;0.0;0.0;0;10;0;0;0.5;0.0;5;10;0;2;0.6;0.0;6;10;0;2;0.0;0.0;0;10;0;0;0.5;0.45;5.0;10;0.0;2.4;1.8200000000000003;0.8999999999999999;18.200000000000003;10;0.0;5.0;0.1;0.0;1;10;0;1;0.0;0.0;0;10;0;0;0.0;0.0;0;10;0;0;23.0;20.5;230;10;0;67;0.1;0.0;1;10;0;1;0.1;0.0;1;10;0;1;0.0;0.0;0;10;0;0;0.0;0.0;0;10;0;0;0.0;0.0;0;10;0;0;0.0;0.0;0;10;0;0;0.9;1.0;9;10;0;2;0.0;0.0;0;10;0;0;0.0;0.0;0;10;0;0;1808.8;1700.0;18088;10;1311;2723;1.0;1.0;10;10;0;4;0.1;0.0;1;10;0;1;0.0;0.0;0;10;0;0;1.0;1.0;10.0;10;0.0;2.0;0.9;1.0;9;10;0;3;-168.4;-141.5;-1684;10;-471;0;59.7;49.5;597;10;0;170;228.1;194.0;2281;10;0;504;4.85;4.85;48.5;10;4.7;5.0;0.0;0.0;0;10;0;0;0.0;0.0;0;10;0;0
Adama_Traoré_500;500;Adama Traoré;0.0;0.0;0;10;0;0;7.2;6.5;72;10;0;17;0.1;0.0;1;10;0;1;0.0;0.0;0;10;0;0;0.2;0.0;2;10;0;2;7.2;7.0;72;10;-1;28;0.0;0.0;0;10;0;0;0.5;0.0;5;10;0;2;5.8;4.5;58;10;0;14;11.53;9.15;115.3;10;0.0;31.6;3.0;2.5;30;10;0;7;0.0;0.0;0;10;0;0;0.0;0.0;0;10;0;0;0.0;0.0;0;10;0;0;0.5;0.0;5;10;0;2;0.1;0.0;1;10;0;1;0.1;0.0;1;10;0;1;3.16;2.9;31.6;10;0.0;9.3;10.76;8.3;107.6;10;0.0;44.4;0.8;0.5;8;10;0;2;0.0;0.0;0;10;0;0;0.0;0.0;0;10;0;0;24.8;21.0;248;10;0;60;0.0;0.0;0;10;0;0;0.6;0.5;6;10;0;2;0.0;0.0;0;10;0;0;0.0;0.0;0;10;0;0;0.0;0.0;0;10;0;0;0.0;0.0;0;10;0;0;1.8;1.5;18;10;0;4;0.0;0.0;0;10;0;0;0.0;0.0;0;10;0;0;30932.9;30266.0;309329;10;22411;45560;2.7;2.5;27;10;0;6;0.3;0.0;3;10;0;2;0.1;0.0;1;10;0;1;9.3;2.0;93.0;10;0.0;28.0;1.6;1.0;16;10;0;8;-1461.2;-3320.0;-14612;10;-10462;19455;3650.5;1339.0;36505;10;0;24901;5111.7;4659.0;51117;10;0;11261;5.5;5.5;55.0;10;5.5;5.5;0.1;0.0;1;10;0;1;0.1;0.0;1;10;0;1
