assists,bonus,bps,chance_of_playing_next_round,chance_of_playing_this_round,clean_sheets,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,creativity,dreamteam_count,ea_index,element_type,ep_next,ep_this,event_points,first_name,form,goals_conceded,goals_scored,ict_index,id,in_dreamteam,influence,loaned_in,loaned_out,loans_in,loans_out,minutes,news,news_added,now_cost,own_goals,penalties_missed,penalties_saved,photo,points_per_game,red_cards,saves,second_name,selected_by_percent,special,squad_number,status,team,team_code,threat,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,yellow_cards
0,0,88,None,None,0,11334,0,0,0,0,0.0,0,0,1,2.5,2.5,2,Petr,2.0,9,0,14.4,1,False,144.4,0,0,0,0,450,,None,50,0,0,0,11334.jpg,2.4,0,20,Cech,2.2,False,1,a,1,3,0.0,12,57140,3362,42332,3567,0.4,2.4,Cech,0
0,0,0,None,None,0,80201,0,0,-2,2,0.0,0,0,1,0.5,0.5,0,Bernd,0.0,0,0,0.0,2,False,0.0,0,0,0,0,0,,None,48,0,0,0,80201.jpg,0.0,0,0,Leno,1.3,False,19,a,1,3,0.0,0,4386,172,57761,2759,0.0,0.0,Leno,0
0,0,0,0,0,0,51507,-1,1,-1,1,0.0,0,0,2,0.0,0.0,0,Laurent,0.0,0,0,0.0,3,False,0.0,0,0,0,0,0,Achilles injury - Expected back 11 Nov,2018-07-05T14:31:07Z,54,0,0,0,51507.jpg,0.0,0,0,Koscielny,0.1,False,6,i,1,3,0.0,0,333,19,3353,112,0.0,0.0,Koscielny,0
1,0,75,None,None,0,98745,0,0,-1,1,66.7,0,0,2,2.8,2.8,2,Héctor,2.3,9,0,21.0,4,False,93.0,0,0,0,0,450,,None,54,0,0,0,98745.jpg,1.8,0,0,Bellerín,10.7,False,2,a,1,3,50.0,9,113703,4219,326216,19878,0.4,1.7,Bellerín,1
0,2,62,100,100,0,38411,0,0,0,0,30.1,1,0,2,4.5,4.5,2,Nacho,4.0,7,1,24.8,5,False,96.4,0,0,0,0,360,,2018-08-05T10:31:10Z,55,0,0,0,38411.jpg,3.3,0,0,Monreal,1.9,False,18,a,1,3,122.0,13,89783,4283,45651,4251,0.7,2.4,Monreal,1
0,0,0,None,None,0,156074,0,0,-1,1,0.0,0,0,2,0.5,0.5,0,Rob,0.0,0,0,0.0,6,False,0.0,0,0,0,0,0,,None,44,0,0,0,156074.jpg,0.0,0,0,Holding,0.5,False,16,a,1,3,0.0,0,2621,106,15420,698,0.0,0.0,Holding,0
0,1,91,None,None,0,69140,0,0,-1,1,30.0,0,0,2,4.5,4.5,2,Shkodran,4.0,9,1,28.0,7,False,168.8,0,0,0,0,450,,None,54,0,0,0,69140.jpg,2.6,0,0,Mustafi,1.3,False,20,a,1,3,80.0,13,14642,1604,29931,1764,0.7,2.4,Mustafi,1
0,0,0,0,0,0,111457,0,0,-1,1,0.0,0,0,2,0.0,0.0,0,Sead,0.0,0,0,0.0,8,False,0.0,0,0,0,0,0,Knee injury - Expected back 22 Oct,2018-08-02T07:01:09Z,49,0,0,0,111457.jpg,0.0,0,0,Kolasinac,0.3,False,31,i,1,3,0.0,0,454,23,18829,384,0.0,0.0,Kolasinac,0
0,0,0,None,None,0,233963,0,0,-2,2,0.0,0,0,2,0.5,0.5,0,Konstantinos,0.0,0,0,0.0,10,False,0.0,0,0,0,0,0,,None,48,0,0,0,233963.jpg,0.0,0,0,Mavropanos,0.1,False,27,a,1,3,0.0,0,822,31,6373,262,0.0,0.0,Mavropanos,0
0,0,0,None,None,0,27335,-1,1,-3,3,5.8,0,0,2,0.5,0.5,0,Stephan,0.0,1,0,0.9,11,False,1.0,0,0,0,0,55,,None,47,0,0,0,27335.jpg,1.0,0,0,Lichtsteiner,1.2,False,12,a,1,3,2.0,1,8489,187,74266,3245,0.0,0.2,Lichtsteiner,0
