,assists_x,bonus_x,bps_x,chance_of_playing_next_round,chance_of_playing_this_round,clean_sheets_x,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,creativity_x,dreamteam_count,ea_index_x,element_type,ep_next,ep_this,event_points,first_name,form,goals_conceded_x,goals_scored_x,ict_index_x,id_x,in_dreamteam,influence_x,loaned_in_x,loaned_out_x,loans_in,loans_out,minutes_x,news,news_added,now_cost,own_goals_x,penalties_missed_x,penalties_saved_x,photo,points_per_game,red_cards_x,saves_x,second_name,selected_by_percent,special,squad_number,status,team,team_code,threat_x,total_points_x,transfers_in_x,transfers_in_event,transfers_out_x,transfers_out_event,value_form,value_season,web_name,yellow_cards_x,name,position,assists_y,attempted_passes,big_chances_created,big_chances_missed,bonus_y,bps_y,clean_sheets_y,clearances_blocks_interceptions,completed_passes,creativity_y,dribbles,ea_index_y,element,errors_leading_to_goal,errors_leading_to_goal_attempt,fixture,fouls,goals_conceded_y,goals_scored_y,ict_index_y,id_y,influence_y,key_passes,loaned_in_y,loaned_out_y,minutes_y,offside,open_play_crosses,opponent_team,own_goals_y,penalties_conceded,penalties_missed_y,penalties_saved_y,recoveries,red_cards_y,round,saves_y,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat_y,total_points_y,transfers_balance,transfers_in_y,transfers_out_y,value,was_home,winning_goals,yellow_cards_y,vpc_ratio
0,0.0,0.0,10.0,100,100,0.0,55459.0,0.0,0.0,-2.0,2.0,27.6,0.0,0.0,2.0,-0.2,0.3,0.0,Aaron,0.3,1.0,0.0,3.7,402.0,False,9.8,0.0,0.0,0.0,0.0,90.0,,2018-07-29T08:31:08Z,53.0,0.0,0.0,0.0,55459.jpg,1.0,0.0,0.0,Cresswell,0.9,False,3,a,19.0,21.0,0.0,1.0,1798.0,99.0,60798.0,3549.0,0.1,0.2,Cresswell,1.0,Aaron Cresswell,Defender,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.0,0.0,22.0,100,100,1.0,17349.0,0.0,0.0,0.0,0.0,29.7,0.0,0.0,3.0,1.5,1.5,2.0,Aaron,2.0,10.0,0.0,9.1,83.0,False,27.6,0.0,0.0,0.0,0.0,450.0,,2018-08-08T19:01:10Z,50.0,0.0,0.0,0.0,17349.jpg,2.2,0.0,0.0,Lennon,0.4,False,25,a,4.0,90.0,35.0,11.0,13256.0,1290.0,14446.0,2003.0,0.4,2.2,Lennon,0.0,Aaron Lennon,Midfielder,0.0,19.5,0.0,0.0,0.0,4.0,0.0,1.0,16.0,6.95,0.5,0.0,83.0,0.0,0.0,17.5,1.0,2.5,0.0,1.65,871.5,4.699999999999999,0.0,0.0,0.0,90.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,2.0,0.0,2.5,0.0,20225.5,2.0,0.0,0.0,2.0,0.5,6.0,2.0,-556.5,2308.5,2732.0,5.0,0.5,0.0,0.0,0.4
2,0.0,0.0,66.0,None,None,1.0,74471.0,-1.0,1.0,-2.0,2.0,64.9,0.0,0.0,3.0,1.8,1.8,2.0,Aaron,2.3,5.0,0.0,16.4,199.0,False,62.0,0.0,0.0,0.0,0.0,360.0,,None,53.0,0.0,0.0,0.0,74471.jpg,2.3,0.0,0.0,Mooy,2.1,False,10,a,10.0,38.0,37.0,9.0,6568.0,414.0,91911.0,9668.0,0.4,1.7,Mooy,0.0,Aaron Mooy,Midfielder,0.0,43.0,0.0,0.0,0.0,15.0,0.0,1.5,34.5,10.1,0.5,0.0,199.0,0.0,0.0,21.0,0.0,0.5,0.0,3.4,987.5,16.2,0.5,0.0,0.0,90.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,8.0,0.0,2.5,0.0,162565.0,1.5,2.0,0.0,1.0,0.5,0.0,2.0,-19484.5,1249.0,20733.5,5.45,0.5,0.0,0.0,0.36697247706422015
3,0.0,0.0,51.0,100,100,1.0,41792.0,0.0,0.0,-1.0,1.0,131.4,0.0,0.0,3.0,2.8,2.8,3.0,Aaron,2.3,5.0,0.0,31.8,14.0,False,68.2,0.0,0.0,0.0,0.0,334.0,,2018-08-02T07:01:09Z,74.0,0.0,0.0,0.0,41792.jpg,1.8,0.0,0.0,Ramsey,1.2,False,8,a,1.0,3.0,118.0,9.0,31696.0,4453.0,43367.0,5970.0,0.3,1.2,Ramsey,0.0,Aaron Ramsey,Midfielder,0.0,35.0,0.0,0.0,0.0,11.0,0.0,0.5,27.0,21.3,1.5,0.0,14.0,0.0,0.0,17.5,1.0,1.0,0.0,5.8500000000000005,802.5,13.2,1.5,0.0,0.0,71.5,0.5,0.5,9.5,0.0,0.0,0.0,0.0,3.0,0.0,2.5,0.0,60735.0,0.5,1.0,0.0,2.0,2.5,29.5,1.5,-2196.5,3235.0,7463.5,7.45,0.5,0.0,0.0,0.20134228187919462
4,1.0,6.0,86.0,100,100,2.0,214590.0,0.0,0.0,1.0,-1.0,68.0,1.0,0.0,2.0,3.0,3.5,9.0,Aaron,3.0,4.0,0.0,19.5,145.0,False,122.4,0.0,0.0,0.0,0.0,344.0,,2018-08-20T21:31:19Z,41.0,0.0,0.0,0.0,214590.jpg,4.8,1.0,0.0,Wan-Bissaka,25.8,False,29,a,7.0,31.0,4.0,19.0,811424.0,142378.0,244038.0,8421.0,0.7,4.6,Wan-Bissaka,1.0,Aaron Wan-Bissaka,Defender,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.0,0.0,3.0,None,None,0.0,246878.0,0.0,0.0,-1.0,1.0,0.5,0.0,0.0,3.0,-0.5,-0.5,0.0,Abdelhamid,0.0,3.0,0.0,0.7,205.0,False,4.2,0.0,0.0,0.0,0.0,45.0,,None,44.0,0.0,0.0,0.0,246878.jpg,1.0,0.0,0.0,Sabiri,0.1,False,29,a,10.0,38.0,2.0,1.0,1453.0,119.0,2210.0,278.0,0.0,0.2,Sabiri,0.0,Abdelhamid Sabiri,Midfielder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2.0,4.0,92.0,100,100,1.0,121599.0,0.0,0.0,-1.0,1.0,97.1,0.0,0.0,3.0,3.8,2.8,8.0,Abdoulaye,3.3,5.0,0.0,22.6,390.0,False,88.0,0.0,0.0,0.0,0.0,450.0,,2018-07-29T09:01:10Z,59.0,1.0,0.0,0.0,121599.jpg,3.8,0.0,0.0,Doucouré,1.7,False,16,a,18.0,57.0,41.0,19.0,28984.0,9966.0,55580.0,5066.0,0.6,3.2,Doucouré,0.0,Abdoulaye Doucouré,Midfielder,0.0,49.0,0.0,0.0,0.0,14.5,0.0,1.5,40.0,21.950000000000003,1.0,0.0,390.0,0.0,0.0,20.5,1.0,1.0,0.0,4.55,1178.5,10.8,1.5,0.0,0.0,90.0,0.0,0.0,5.5,0.0,0.0,0.0,0.0,10.0,0.0,2.5,0.0,101896.5,1.0,0.5,0.0,1.0,2.0,2.0,2.5,-6103.5,3498.5,12420.5,6.0,1.0,0.0,0.0,0.4166666666666667
7,0.0,0.0,14.0,None,None,0.0,197030.0,0.0,0.0,0.0,0.0,60.1,0.0,0.0,4.0,-0.5,-1.5,0.0,Aboubakar,0.0,4.0,0.0,10.4,189.0,False,13.8,0.0,0.0,0.0,0.0,116.0,,None,45.0,0.0,0.0,0.0,197030.jpg,1.5,0.0,0.0,Kamara,9.3,False,47,a,9.0,54.0,30.0,3.0,270320.0,10088.0,340469.0,50087.0,0.0,0.7,Kamara,0.0,Aboubakar Kamara,Forward,0.0,7.5,0.0,0.0,0.0,1.0,0.0,0.0,5.0,12.8,0.0,0.0,189.0,0.0,0.0,21.0,0.5,0.5,0.0,2.5,977.5,3.1,1.0,0.0,0.0,14.5,0.0,0.0,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,571966.5,0.5,0.0,0.0,2.0,2.5,4.0,0.5,-2273.0,46954.0,61752.0,4.5,0.5,0.0,0.0,0.1111111111111111
8,0.0,0.0,2.0,0,0,0.0,39155.0,0.0,0.0,-1.0,1.0,0.4,0.0,0.0,3.0,0.0,0.0,0.0,Adam,0.0,0.0,0.0,0.0,250.0,False,0.0,0.0,0.0,0.0,0.0,3.0,Groin Injury - Expected back 29 Sep,2018-09-04T14:31:13Z,69.0,0.0,0.0,0.0,39155.jpg,1.0,0.0,0.0,Lallana,0.8,False,20,i,12.0,14.0,0.0,1.0,1015.0,28.0,34558.0,2930.0,0.0,0.1,Lallana,0.0,Adam Lallana,Midfielder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.0,0.0,3.0,None,None,0.0,155651.0,0.0,0.0,-2.0,2.0,0.2,0.0,0.0,2.0,0.8,-0.2,1.0,Adam,0.3,0.0,0.0,0.4,386.0,False,1.6,0.0,0.0,0.0,0.0,6.0,,None,43.0,0.0,0.0,0.0,155651.jpg,1.0,0.0,0.0,Masina,0.1,False,11,a,18.0,57.0,2.0,1.0,266.0,98.0,3058.0,191.0,0.1,0.2,Masina,0.0,Adam Masina,Defender,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
