assists,bonus,bps,chance_of_playing_next_round,chance_of_playing_this_round,clean_sheets,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,creativity,dreamteam_count,ea_index,element_type,ep_next,ep_this,event_points,first_name,form,goals_conceded,goals_scored,ict_index,id,in_dreamteam,influence,loaned_in,loaned_out,loans_in,loans_out,minutes,news,news_added,now_cost,own_goals,penalties_missed,penalties_saved,photo,points_per_game,red_cards,saves,second_name,selected_by_percent,special,squad_number,status,team,team_code,threat,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,yellow_cards
0,3,124,None,None,1,11334,0,0,0,0,0.0,0,0,1,5.2,5.2,11,Petr,4.7,9,0,18.7,1,False,187.8,0,0,0,0,540,,None,50,0,0,0,11334.jpg,3.8,0,26,Cech,2.3,False,1,a,1,3,0.0,23,64462,4091,47765,1610,0.9,4.6,Cech,0
0,0,0,None,None,0,80201,0,0,-2,2,0.0,0,0,1,0.5,0.5,0,Bernd,0.0,0,0,0.0,2,False,0.0,0,0,0,0,0,,None,48,0,0,0,80201.jpg,0.0,0,0,Leno,1.3,False,19,a,1,3,0.0,0,4671,104,61509,1778,0.0,0.0,Leno,0
0,0,0,0,0,0,51507,0,0,-1,1,0.0,0,0,2,0.0,0.0,0,Laurent,0.0,0,0,0.0,3,False,0.0,0,0,0,0,0,Achilles injury - Expected back 11 Nov,2018-07-05T14:31:07Z,54,0,0,0,51507.jpg,0.0,0,0,Koscielny,0.1,False,6,i,1,3,0.0,0,372,16,3519,81,0.0,0.0,Koscielny,0
1,0,103,None,None,1,98745,0,0,-1,1,73.5,0,0,2,3.2,3.2,6,Héctor,2.7,9,0,25.8,4,False,107.0,0,0,0,0,540,,None,54,0,0,0,98745.jpg,2.5,0,0,Bellerín,10.3,False,2,a,1,3,77.0,15,125169,5028,357039,8000,0.5,2.8,Bellerín,1
0,2,82,100,100,1,38411,0,0,0,0,45.3,1,0,2,3.2,3.2,6,Nacho,2.7,7,1,30.2,5,False,111.8,0,0,0,0,450,,2018-08-05T10:31:10Z,55,0,0,0,38411.jpg,3.8,0,0,Monreal,2.1,False,18,a,1,3,145.0,19,103251,5594,52493,1693,0.5,3.5,Monreal,1
0,0,9,None,None,0,156074,0,0,-1,1,0.5,0,0,2,0.8,0.8,1,Rob,0.3,0,0,1.3,6,False,12.0,0,0,0,0,51,,None,44,0,0,0,156074.jpg,1.0,0,0,Holding,0.5,False,16,a,1,3,0.0,1,2900,191,16474,462,0.1,0.2,Holding,0
0,1,117,None,None,1,69140,0,0,-1,1,30.5,0,0,2,5.8,5.8,6,Shkodran,5.3,9,1,29.8,7,False,186.4,0,0,0,0,540,,None,54,0,0,0,69140.jpg,3.2,0,0,Mustafi,1.3,False,20,a,1,3,80.0,19,18620,2162,32650,922,1.0,3.5,Mustafi,1
0,0,0,0,0,0,111457,0,0,-1,1,0.0,0,0,2,0.0,0.0,0,Sead,0.0,0,0,0.0,8,False,0.0,0,0,0,0,0,Knee injury - Expected back 22 Oct,2018-08-02T07:01:09Z,49,0,0,0,111457.jpg,0.0,0,0,Kolasinac,0.3,False,31,i,1,3,0.0,0,489,13,19402,265,0.0,0.0,Kolasinac,0
0,0,0,None,None,0,233963,0,0,-2,2,0.0,0,0,2,0.5,0.5,0,Konstantinos,0.0,0,0,0.0,10,False,0.0,0,0,0,0,0,,None,48,0,0,0,233963.jpg,0.0,0,0,Mavropanos,0.1,False,27,a,1,3,0.0,0,908,47,6791,174,0.0,0.0,Mavropanos,0
0,0,0,None,None,0,27335,0,0,-3,3,5.8,0,0,2,0.5,0.5,0,Stephan,0.0,1,0,0.9,11,False,1.0,0,0,0,0,55,,None,47,0,0,0,27335.jpg,1.0,0,0,Lichtsteiner,1.1,False,12,a,1,3,2.0,1,8951,225,79117,1776,0.0,0.2,Lichtsteiner,0
0,0,60,75,None,0,39476,0,0,-2,2,12.1,0,0,2,1.1,1.5,0,Sokratis,1.0,9,0,11.1,12,False,92.2,0,0,0,0,488,Knee injury - 75% chance of playing,2018-09-23T16:01:13Z,53,0,0,0,39476.jpg,0.8,0,0,Papastathopoulos,1.5,False,5,d,1,3,6.0,5,10206,343,70279,3962,0.2,0.9,Sokratis,3
0,3,66,None,None,1,37605,0,0,-2,2,122.9,0,0,3,5.5,5.5,3,Mesut,5.0,7,1,26.0,13,False,82.2,0,0,0,0,420,,None,83,0,0,0,37605.jpg,3.8,0,0,Özil,3.0,False,10,a,1,3,55.0,19,52276,3552,170127,3471,0.6,2.3,Özil,0
