name_id;id;name;average_assists;median_assists;sum_assists;count_assists;min_assists;max_assists;average_attempted_passes;median_attempted_passes;sum_attempted_passes;count_attempted_passes;min_attempted_passes;max_attempted_passes;average_big_chances_created;median_big_chances_created;sum_big_chances_created;count_big_chances_created;min_big_chances_created;max_big_chances_created;average_big_chances_missed;median_big_chances_missed;sum_big_chances_missed;count_big_chances_missed;min_big_chances_missed;max_big_chances_missed;average_bonus;median_bonus;sum_bonus;count_bonus;min_bonus;max_bonus;average_bps;median_bps;sum_bps;count_bps;min_bps;max_bps;average_clean_sheets;median_clean_sheets;sum_clean_sheets;count_clean_sheets;min_clean_sheets;max_clean_sheets;average_clearances_blocks_interceptions;median_clearances_blocks_interceptions;sum_clearances_blocks_interceptions;count_clearances_blocks_interceptions;min_clearances_blocks_interceptions;max_clearances_blocks_interceptions;average_completed_passes;median_completed_passes;sum_completed_passes;count_completed_passes;min_completed_passes;max_completed_passes;average_cost;median_cost;sum_cost;count_cost;min_cost;max_cost;average_creativity;median_creativity;sum_creativity;count_creativity;min_creativity;max_creativity;average_dribbles;median_dribbles;sum_dribbles;count_dribbles;min_dribbles;max_dribbles;average_ea_index;median_ea_index;sum_ea_index;count_ea_index;min_ea_index;max_ea_index;average_errors_leading_to_goal;median_errors_leading_to_goal;sum_errors_leading_to_goal;count_errors_leading_to_goal;min_errors_leading_to_goal;max_errors_leading_to_goal;average_errors_leading_to_goal_attempt;median_errors_leading_to_goal_attempt;sum_errors_leading_to_goal_attempt;count_errors_leading_to_goal_attempt;min_errors_leading_to_goal_attempt;max_errors_leading_to_goal_attempt;average_fouls;median_fouls;sum_fouls;count_fouls;min_fouls;max_fouls;average_goals_conceded;median_goals_conceded;sum_goals_conceded;count_goals_conceded;min_goals_conceded;max_goals_conceded;average_goals_scored;median_goals_scored;sum_goals_scored;count_goals_scored;min_goals_scored;max_goals_scored;average_ict_index;median_ict_index;sum_ict_index;count_ict_index;min_ict_index;max_ict_index;average_influence;median_influence;sum_influence;count_influence;min_influence;max_influence;average_key_passes;median_key_passes;sum_key_passes;count_key_passes;min_key_passes;max_key_passes;average_loaned_in;median_loaned_in;sum_loaned_in;count_loaned_in;min_loaned_in;max_loaned_in;average_loaned_out;median_loaned_out;sum_loaned_out;count_loaned_out;min_loaned_out;max_loaned_out;average_minutes;median_minutes;sum_minutes;count_minutes;min_minutes;max_minutes;average_offside;median_offside;sum_offside;count_offside;min_offside;max_offside;average_open_play_crosses;median_open_play_crosses;sum_open_play_crosses;count_open_play_crosses;min_open_play_crosses;max_open_play_crosses;average_own_goals;median_own_goals;sum_own_goals;count_own_goals;min_own_goals;max_own_goals;average_penalties_conceded;median_penalties_conceded;sum_penalties_conceded;count_penalties_conceded;min_penalties_conceded;max_penalties_conceded;average_penalties_missed;median_penalties_missed;sum_penalties_missed;count_penalties_missed;min_penalties_missed;max_penalties_missed;average_penalties_saved;median_penalties_saved;sum_penalties_saved;count_penalties_saved;min_penalties_saved;max_penalties_saved;average_recoveries;median_recoveries;sum_recoveries;count_recoveries;min_recoveries;max_recoveries;average_red_cards;median_red_cards;sum_red_cards;count_red_cards;min_red_cards;max_red_cards;average_saves;median_saves;sum_saves;count_saves;min_saves;max_saves;average_selected;median_selected;sum_selected;count_selected;min_selected;max_selected;average_tackled;median_tackled;sum_tackled;count_tackled;min_tackled;max_tackled;average_tackles;median_tackles;sum_tackles;count_tackles;min_tackles;max_tackles;average_target_missed;median_target_missed;sum_target_missed;count_target_missed;min_target_missed;max_target_missed;average_threat;median_threat;sum_threat;count_threat;min_threat;max_threat;average_total_points;median_total_points;sum_total_points;count_total_points;min_total_points;max_total_points;average_transfers_balance;median_transfers_balance;sum_transfers_balance;count_transfers_balance;min_transfers_balance;max_transfers_balance;average_transfers_in;median_transfers_in;sum_transfers_in;count_transfers_in;min_transfers_in;max_transfers_in;average_transfers_out;median_transfers_out;sum_transfers_out;count_transfers_out;min_transfers_out;max_transfers_out;average_winning_goals;median_winning_goals;sum_winning_goals;count_winning_goals;min_winning_goals;max_winning_goals;average_yellow_cards;median_yellow_cards;sum_yellow_cards;count_yellow_cards;min_yellow_cards;max_yellow_cards
Aaron_Cresswell_402;402;Aaron Cresswell;0.0;0.0;0;26;0;0;19.884615384615383;10.0;517;26;0;60;0.038461538461538464;0.0;1;26;0;1;0.0;0.0;0;26;0;0;0.0;0.0;0;26;0;0;6.576923076923077;5.5;171;26;0;21;0.038461538461538464;0.0;1;26;0;1;2.1538461538461537;1.5;56;26;0;6;15.846153846153847;5.0;412;26;0;49;5.15;5.1;133.9;26;5.0;5.5;7.403846153846152;0.3;192.49999999999997;26;0.0;33.1;0.07692307692307693;0.0;2;26;0;1;0.0;0.0;0;26;0;0;0.0;0.0;0;26;0;0;0.0;0.0;0;26;0;0;0.07692307692307693;0.0;2;26;0;1;0.6153846153846154;0.0;16;26;0;2;0.0;0.0;0;26;0;0;1.7538461538461538;1.25;45.6;26;0.0;5.7;8.223076923076922;7.699999999999999;213.79999999999998;26;0.0;23.4;0.5;0.0;13;26;0;3;0.0;0.0;0;26;0;0;0.0;0.0;0;26;0;0;42.5;30.0;1105;26;0;90;0.0;0.0;0;26;0;0;0.19230769230769232;0.0;5;26;0;3;0.0;0.0;0;26;0;0;0.0;0.0;0;26;0;0;0.0;0.0;0;26;0;0;0.0;0.0;0;26;0;0;2.230769230769231;0.5;58;26;0;9;0.0;0.0;0;26;0;0;0.0;0.0;0;26;0;0;44267.807692307695;37378.0;1150963;26;32970;103396;0.3076923076923077;0.0;8;26;0;2;0.19230769230769232;0.0;5;26;0;2;0.19230769230769232;0.0;5;26;0;2;1.8846153846153846;0.0;49.0;26;0.0;10.0;0.9230769230769231;1.0;24;26;0;6;-2927.846153846154;-750.5;-76124;26;-22473;253;322.2692307692308;276.5;8379;26;0;933;3250.1153846153848;999.5;84503;26;0;22719;0.0;0.0;0;26;0;0;0.038461538461538464;0.0;1;26;0;1
Aaron_Lennon_83;83;Aaron Lennon;0.038461538461538464;0.0;1;26;0;1;10.653846153846153;14.5;277;26;0;30;0.0;0.0;0;26;0;0;0.038461538461538464;0.0;1;26;0;1;0.07692307692307693;0.0;2;26;0;2;5.115384615384615;4.0;133;26;0;38;0.11538461538461539;0.0;3;26;0;1;0.7692307692307693;0.0;20;26;0;4;8.461538461538462;11.0;220;26;0;25;4.980769230769231;5.0;129.5;26;4.9;5.0;4.661538461538462;1.25;121.20000000000002;26;0.0;28.7;0.23076923076923078;0.0;6;26;0;2;0.0;0.0;0;26;0;0;0.0;0.0;0;26;0;0;0.0;0.0;0;26;0;0;0.46153846153846156;0.0;12;26;0;3;0.8461538461538461;0.0;22;26;0;4;0.038461538461538464;0.0;1;26;0;1;1.4615384615384615;0.4;38.0;26;0.0;14.8;5.8307692307692305;0.6;151.6;26;0.0;61.8;0.2692307692307692;0.0;7;26;0;2;0.0;0.0;0;26;0;0;0.0;0.0;0;26;0;0;46.69230769230769;56.5;1214;26;0;90;0.0;0.0;0;26;0;0;0.11538461538461539;0.0;3;26;0;1;0.0;0.0;0;26;0;0;0.038461538461538464;0.0;1;26;0;1;0.0;0.0;0;26;0;0;0.0;0.0;0;26;0;0;1.6538461538461537;1.0;43;26;0;5;0.0;0.0;0;26;0;0;0.0;0.0;0;26;0;0;42444.96153846154;30389.5;1103569;26;15138;105290;0.7307692307692307;0.0;19;26;0;3;0.5;0.0;13;26;0;3;0.038461538461538464;0.0;1;26;0;1;4.153846153846154;0.0;108.0;26;0.0;57.0;1.5769230769230769;1.0;41;26;0;13;-272.8076923076923;-1985.0;-7093;26;-17297;54553;5048.2692307692305;674.5;131255;26;0;59888;5321.076923076923;3711.0;138348;26;0;20218;0.0;0.0;0;26;0;0;0.038461538461538464;0.0;1;26;0;1
Aaron_Mooy_199;199;Aaron Mooy;0.0;0.0;0;26;0;0;33.5;43.0;871;26;0;74;0.07692307692307693;0.0;2;26;0;1;0.0;0.0;0;26;0;0;0.11538461538461539;0.0;3;26;0;3;10.653846153846153;8.5;277;26;0;51;0.11538461538461539;0.0;3;26;0;1;0.9230769230769231;0.0;24;26;0;4;26.692307692307693;33.5;694;26;0;59;5.1923076923076925;5.1;135.0;26;5.0;5.5;20.01538461538462;16.950000000000003;520.4000000000001;26;0.0;103.3;0.3076923076923077;0.0;8;26;0;2;0.0;0.0;0;26;0;0;0.0;0.0;0;26;0;0;0.0;0.0;0;26;0;0;0.6153846153846154;0.0;16;26;0;3;1.0384615384615385;1.0;27;26;0;5;0.07692307692307693;0.0;2;26;0;2;4.292307692307693;3.35;111.60000000000001;26;0.0;16.2;12.976923076923075;11.9;337.4;26;0.0;84.8;1.1923076923076923;1.0;31;26;0;6;0.0;0.0;0;26;0;0;0.0;0.0;0;26;0;0;59.11538461538461;90.0;1537;26;0;90;0.0;0.0;0;26;0;0;0.5;0.0;13;26;0;3;0.0;0.0;0;26;0;0;0.0;0.0;0;26;0;0;0.0;0.0;0;26;0;0;0.0;0.0;0;26;0;0;5.653846153846154;5.5;147;26;0;13;0.0;0.0;0;26;0;0;0.0;0.0;0;26;0;0;100685.34615384616;90573.5;2617819;26;61913;192110;1.6153846153846154;1.0;42;26;0;8;0.9230769230769231;0.0;24;26;0;6;0.4230769230769231;0.0;11;26;0;3;9.884615384615385;4.5;257.0;26;0.0;44.0;1.8846153846153846;2.0;49;26;0;16;-5550.807692307692;-3523.5;-144321;26;-25494;37834;2714.8076923076924;387.5;70585;26;0;40189;8265.615384615385;4990.0;214906;26;0;27777;0.038461538461538464;0.0;1;26;0;1;0.07692307692307693;0.0;2;26;0;1
Aaron_Ramsey_14;14;Aaron Ramsey;0.23076923076923078;0.0;6;26;0;2;19.46153846153846;15.0;506;26;0;63;0.07692307692307693;0.0;2;26;0;1;0.07692307692307693;0.0;2;26;0;2;0.038461538461538464;0.0;1;26;0;1;7.884615384615385;4.5;205;26;0;30;0.15384615384615385;0.0;4;26;0;1;0.2692307692307692;0.0;7;26;0;3;15.692307692307692;11.5;408;26;0;50;7.323076923076922;7.35;190.39999999999998;26;7.2;7.5;11.930769230769231;7.800000000000001;310.2;26;0.0;52.2;0.34615384615384615;0.0;9;26;0;3;0.0;0.0;0;26;0;0;0.0;0.0;0;26;0;0;0.0;0.0;0;26;0;0;0.5384615384615384;0.0;14;26;0;2;0.5;0.0;13;26;0;5;0.07692307692307693;0.0;2;26;0;1;3.7230769230769236;2.8;96.80000000000001;26;0.0;12.8;11.215384615384616;4.1;291.6;26;0.0;51.0;0.8076923076923077;0.5;21;26;0;4;0.0;0.0;0;26;0;0;0.0;0.0;0;26;0;0;35.30769230769231;23.5;918;26;0;90;0.11538461538461539;0.0;3;26;0;2;0.19230769230769232;0.0;5;26;0;1;0.0;0.0;0;26;0;0;0.0;0.0;0;26;0;0;0.0;0.0;0;26;0;0;0.0;0.0;0;26;0;0;2.0384615384615383;1.0;53;26;0;11;0.0;0.0;0;26;0;0;0.0;0.0;0;26;0;0;71201.46153846153;64209.0;1851238;26;55745;149343;1.0384615384615385;0.0;27;26;0;5;0.19230769230769232;0.0;5;26;0;2;0.19230769230769232;0.0;5;26;0;2;14.0;7.5;364.0;26;0.0;48.0;2.3846153846153846;1.0;62;26;0;10;-1316.1923076923076;-2290.5;-34221;26;-35227;58997;6687.961538461538;3103.5;173887;26;0;69274;8004.153846153846;6237.5;208108;26;0;36358;0.0;0.0;0;26;0;0;0.0;0.0;0;26;0;0
Aaron_Wan-Bissaka_145;145;Aaron Wan-Bissaka;0.038461538461538464;0.0;1;26;0;1;32.5;33.0;845;26;0;56;0.07692307692307693;0.0;2;26;0;1;0.0;0.0;0;26;0;0;0.5384615384615384;0.0;14;26;0;3;17.76923076923077;15.5;462;26;-1;38;0.34615384615384615;0.0;9;26;0;1;5.8076923076923075;6.0;151;26;0;11;23.615384615384617;21.5;614;26;0;48;4.296153846153846;4.3;111.69999999999999;26;4.0;4.6;7.6230769230769235;3.15;198.20000000000002;26;0.0;39.6;1.6153846153846154;1.0;42;26;0;5;0.0;0.0;0;26;0;0;0.0;0.0;0;26;0;0;0.0;0.0;0;26;0;0;0.6538461538461539;1.0;17;26;0;2;1.2307692307692308;1.0;32;26;0;4;0.0;0.0;0;26;0;0;3.55;2.9;92.3;26;0.0;7.6;22.907692307692308;22.9;595.6;26;0.0;46.0;0.38461538461538464;0.0;10;26;0;3;0.0;0.0;0;26;0;0;0.0;0.0;0;26;0;0;85.92307692307692;90.0;2234;26;0;90;0.038461538461538464;0.0;1;26;0;1;0.34615384615384615;0.0;9;26;0;3;0.0;0.0;0;26;0;0;0.038461538461538464;0.0;1;26;0;1;0.0;0.0;0;26;0;0;0.0;0.0;0;26;0;0;5.384615384615385;6.0;140;26;0;11;0.038461538461538464;0.0;1;26;0;1;0.0;0.0;0;26;0;0;1656988.7692307692;1711012.5;43081708;26;652304;2118434;1.8461538461538463;2.0;48;26;0;4;1.6153846153846154;1.0;42;26;0;5;0.11538461538461539;0.0;3;26;0;1;4.884615384615385;0.5;127.0;26;0.0;26.0;3.230769230769231;1.5;84;26;-2;12;44518.0;29918.0;1157468;26;-62293;282492;78602.19230769231;60534.5;2043657;26;0;296156;34084.192307692305;24061.0;886189;26;0;134124;0.0;0.0;0;26;0;0;0.15384615384615385;0.0;4;26;0;1
Abd-Al-Ali Morakinyo Olaposi_Koiki_564;564;Abd-Al-Ali Morakinyo Olaposi Koiki;0.0;0.0;0;9;0;0;0.0;0.0;0;9;0;0;0.0;0.0;0;9;0;0;0.0;0.0;0;9;0;0;0.0;0.0;0;9;0;0;0.0;0.0;0;9;0;0;0.0;0.0;0;9;0;0;0.0;0.0;0;9;0;0;0.0;0.0;0;9;0;0;4.0;4.0;36.0;9;4.0;4.0;0.0;0.0;0.0;9;0.0;0.0;0.0;0.0;0;9;0;0;0.0;0.0;0;9;0;0;0.0;0.0;0;9;0;0;0.0;0.0;0;9;0;0;0.0;0.0;0;9;0;0;0.0;0.0;0;9;0;0;0.0;0.0;0;9;0;0;0.0;0.0;0.0;9;0.0;0.0;0.0;0.0;0.0;9;0.0;0.0;0.0;0.0;0;9;0;0;0.0;0.0;0;9;0;0;0.0;0.0;0;9;0;0;0.0;0.0;0;9;0;0;0.0;0.0;0;9;0;0;0.0;0.0;0;9;0;0;0.0;0.0;0;9;0;0;0.0;0.0;0;9;0;0;0.0;0.0;0;9;0;0;0.0;0.0;0;9;0;0;0.0;0.0;0;9;0;0;0.0;0.0;0;9;0;0;0.0;0.0;0;9;0;0;182.44444444444446;209.0;1642;9;0;280;0.0;0.0;0;9;0;0;0.0;0.0;0;9;0;0;0.0;0.0;0;9;0;0;0.0;0.0;0.0;9;0.0;0.0;0.0;0.0;0;9;0;0;7.0;0.0;63;9;-49;70;45.111111111111114;31.0;406;9;0;118;38.111111111111114;31.0;343;9;0;92;0.0;0.0;0;9;0;0;0.0;0.0;0;9;0;0
Abdelhamid_Sabiri_205;205;Abdelhamid Sabiri;0.0;0.0;0;26;0;0;0.3076923076923077;0.0;8;26;0;8;0.0;0.0;0;26;0;0;0.0;0.0;0;26;0;0;0.0;0.0;0;26;0;0;0.23076923076923078;0.0;6;26;0;3;0.0;0.0;0;26;0;0;0.038461538461538464;0.0;1;26;0;1;0.2692307692307692;0.0;7;26;0;7;4.35;4.3;113.1;26;4.3;4.5;0.019230769230769232;0.0;0.5;26;0.0;0.5;0.0;0.0;0;26;0;0;0.0;0.0;0;26;0;0;0.0;0.0;0;26;0;0;0.0;0.0;0;26;0;0;0.0;0.0;0;26;0;0;0.11538461538461539;0.0;3;26;0;3;0.0;0.0;0;26;0;0;0.02692307692307692;0.0;0.7;26;0.0;0.7;0.16153846153846155;0.0;4.2;26;0.0;4.2;0.0;0.0;0;26;0;0;0.0;0.0;0;26;0;0;0.0;0.0;0;26;0;0;1.8461538461538463;0.0;48;26;0;45;0.0;0.0;0;26;0;0;0.0;0.0;0;26;0;0;0.0;0.0;0;26;0;0;0.0;0.0;0;26;0;0;0.0;0.0;0;26;0;0;0.0;0.0;0;26;0;0;0.07692307692307693;0.0;2;26;0;2;0.0;0.0;0;26;0;0;0.0;0.0;0;26;0;0;3484.0;3466.0;90584;26;2898;4165;0.0;0.0;0;26;0;0;0.0;0.0;0;26;0;0;0.0;0.0;0;26;0;0;0.07692307692307693;0.0;2.0;26;0.0;2.0;0.07692307692307693;0.0;2;26;0;1;-75.15384615384616;-95.5;-1954;26;-386;376;156.1153846153846;78.0;4059;26;0;861;231.26923076923077;208.0;6013;26;0;643;0.0;0.0;0;26;0;0;0.0;0.0;0;26;0;0
Abdoulaye_Doucouré_390;390;Abdoulaye Doucouré;0.19230769230769232;0.0;5;26;0;2;46.34615384615385;46.5;1205;26;0;106;0.23076923076923078;0.0;6;26;0;1;0.19230769230769232;0.0;5;26;0;1;0.34615384615384615;0.0;9;26;0;3;13.73076923076923;10.0;357;26;0;35;0.19230769230769232;0.0;5;26;0;1;2.1153846153846154;2.0;55;26;0;6;38.19230769230769;38.0;993;26;0;90;5.915384615384616;5.9;153.8;26;5.9;6.0;13.596153846153848;13.45;353.50000000000006;26;0.0;45.1;0.7692307692307693;0.5;20;26;0;3;0.0;0.0;0;26;0;0;0.038461538461538464;0.0;1;26;0;1;0.11538461538461539;0.0;3;26;0;1;0.8846153846153846;1.0;23;26;0;4;1.1923076923076923;1.0;31;26;0;4;0.11538461538461539;0.0;3;26;0;1;4.926923076923076;3.65;128.1;26;0.0;18.0;18.200000000000003;13.9;473.20000000000005;26;0.0;57.4;0.9615384615384616;1.0;25;26;0;4;0.0;0.0;0;26;0;0;0.0;0.0;0;26;0;0;76.1923076923077;90.0;1981;26;0;90;0.038461538461538464;0.0;1;26;0;1;0.038461538461538464;0.0;1;26;0;1;0.038461538461538464;0.0;1;26;0;1;0.0;0.0;0;26;0;0;0.0;0.0;0;26;0;0;0.0;0.0;0;26;0;0;6.461538461538462;7.0;168;26;0;11;0.0;0.0;0;26;0;0;0.0;0.0;0;26;0;0;102829.46153846153;99954.5;2673566;26;77398;143182;1.3846153846153846;1.0;36;26;0;4;0.46153846153846156;0.0;12;26;0;3;0.4230769230769231;0.0;11;26;0;2;17.5;6.5;455.0;26;0.0;120.0;3.1923076923076925;2.0;83;26;0;11;-2035.3076923076924;-3930.5;-52918;26;-37252;26445;8313.538461538461;4297.0;216152;26;0;29856;10348.846153846154;10005.5;269070;26;0;37841;0.0;0.0;0;26;0;0;0.11538461538461539;0.0;3;26;0;1
Aboubakar_Kamara_189;189;Aboubakar Kamara;0.0;0.0;0;26;0;0;8.576923076923077;2.0;223;26;0;35;0.038461538461538464;0.0;1;26;0;1;0.15384615384615385;0.0;4;26;0;2;0.07692307692307693;0.0;2;26;0;2;3.1538461538461537;0.0;82;26;-5;27;0.038461538461538464;0.0;1;26;0;1;0.23076923076923078;0.0;6;26;0;4;6.269230769230769;1.5;163;26;0;27;4.4192307692307695;4.4;114.9;26;4.3;4.5;5.75;0.35;149.5;26;0.0;34.5;0.46153846153846156;0.0;12;26;0;3;0.0;0.0;0;26;0;0;0.0;0.0;0;26;0;0;0.0;0.0;0;26;0;0;0.9230769230769231;0.0;24;26;0;3;0.6538461538461539;0.0;17;26;0;3;0.11538461538461539;0.0;3;26;0;1;2.042307692307692;0.05;53.1;26;0.0;9.9;5.769230769230769;0.0;150.0;26;0.0;33.4;0.38461538461538464;0.0;10;26;0;2;0.0;0.0;0;26;0;0;0.0;0.0;0;26;0;0;26.46153846153846;7.0;688;26;0;90;0.2692307692307692;0.0;7;26;0;2;0.038461538461538464;0.0;1;26;0;1;0.0;0.0;0;26;0;0;0.0;0.0;0;26;0;0;0.038461538461538464;0.0;1;26;0;1;0.0;0.0;0;26;0;0;1.1153846153846154;0.0;29;26;0;5;0.0;0.0;0;26;0;0;0.0;0.0;0;26;0;0;541939.8846153846;528699.5;14090437;26;435795;713686;0.7307692307692307;0.0;19;26;0;4;0.07692307692307693;0.0;2;26;0;1;0.4230769230769231;0.0;11;26;0;4;9.384615384615385;1.0;244.0;26;0.0;51.0;1.0769230769230769;0.0;28;26;-1;8;-6269.461538461538;-1060.5;-163006;26;-80977;69748;35462.346153846156;24804.5;922021;26;0;127275;41731.807692307695;39644.5;1085027;26;0;85864;0.0;0.0;0;26;0;0;0.07692307692307693;0.0;2;26;0;1
Adalberto_Peñaranda_554;554;Adalberto Peñaranda;0.0;0.0;0;13;0;0;0.0;0.0;0;13;0;0;0.0;0.0;0;13;0;0;0.0;0.0;0;13;0;0;0.0;0.0;0;13;0;0;0.0;0.0;0;13;0;0;0.0;0.0;0;13;0;0;0.0;0.0;0;13;0;0;0.0;0.0;0;13;0;0;5.0;5.0;65.0;13;5.0;5.0;0.0;0.0;0.0;13;0.0;0.0;0.0;0.0;0;13;0;0;0.0;0.0;0;13;0;0;0.0;0.0;0;13;0;0;0.0;0.0;0;13;0;0;0.0;0.0;0;13;0;0;0.0;0.0;0;13;0;0;0.0;0.0;0;13;0;0;0.0;0.0;0.0;13;0.0;0.0;0.0;0.0;0.0;13;0.0;0.0;0.0;0.0;0;13;0;0;0.0;0.0;0;13;0;0;0.0;0.0;0;13;0;0;0.0;0.0;0;13;0;0;0.0;0.0;0;13;0;0;0.0;0.0;0;13;0;0;0.0;0.0;0;13;0;0;0.0;0.0;0;13;0;0;0.0;0.0;0;13;0;0;0.0;0.0;0;13;0;0;0.0;0.0;0;13;0;0;0.0;0.0;0;13;0;0;0.0;0.0;0;13;0;0;385.2307692307692;210.0;5008;13;4;901;0.0;0.0;0;13;0;0;0.0;0.0;0;13;0;0;0.0;0.0;0;13;0;0;0.0;0.0;0.0;13;0.0;0.0;0.0;0.0;0;13;0;0;45.53846153846154;27.0;592;13;-31;306;124.84615384615384;80.0;1623;13;7;465;79.3076923076923;34.0;1031;13;4;224;0.0;0.0;0;13;0;0;0.0;0.0;0;13;0;0
